row_id,pid,condition_id,style,decel,bus,density,wait_ehmi_duration,cross_ehmi_duration,crossing_status,crossing_delay,crossing_time,safety_margin,q1,q2,q3,early_traffic,early_window,success_flag,trial_order_raw,trial_order_c,paired_default_removed,normal_complete,raw_style,raw_delay,raw_status,wait_raw_any,cross_raw_any,wait_ehmi_any,cross_ehmi_any
404,13,22,3,0,0,1,,,1,,2.521082,1.196727,6,6,6,0,1,1,14,-3.5,0,1,3,-0.18,1,0,0,0,0
405,13,23,4,0,0,1,0.2018065,0,1,0.2,2.489999,1.027358,6,7,6,0,0,1,33,15.5,0,1,4,0.2,1,1,0,1,0
406,13,24,1,1,1,1,,,1,0.02,2.309578,3.336197,3,,,0,0,1,15,-2.5,0,1,1,0.02,1,0,0,,
407,13,25,2,1,1,1,0,,1,0.47,2.268204,2.911646,7,6,4,0,0,1,3,-14.5,0,1,2,0.47,1,0,0,0,0
408,13,26,3,1,1,1,,,1,,2.375872,3.388588,6,6,6,0,1,1,25,7.5,0,1,3,-0.08,1,0,0,0,0
409,13,27,4,1,1,1,0,,1,0.86,2.443718,2.431647,7,7,6,0,0,1,22,4.5,0,1,4,0.86,1,0,0,0,0
410,13,28,1,0,1,1,,,0,,,,,,,0,0,0,27,9.5,0,0,1,4.99,0,0,0,,
411,13,29,2,0,1,1,0,,1,0.44,2.593272,0.7841884,6,6,6,0,0,1,7,-10.5,0,1,2,0.44,1,0,0,0,0
412,13,30,3,0,1,1,,,1,,2.562473,1.219195,7,5,5,0,1,1,5,-12.5,0,1,3,-0.1,1,0,0,0,0
413,13,31,4,0,1,1,0.0212592,,1,0.4,2.525073,0.8721026,7,6,7,0,0,1,9,-8.5,0,1,4,0.4,1,1,0,1,0
414,14,0,1,1,0,0,,,0,,,,,,,0,1,0,15,-2.03125,0,0,1,0,0,0,0,,
415,14,1,2,1,0,0,0.041619,0,1,0.58,3.194102,2.077742,6,7,6,0,0,1,13,-4.03125,0,1,2,0.58,1,1,0,1,0
416,14,2,3,1,0,0,,,1,0.96,2.551595,2.226988,4,7,7,0,0,1,29,11.96875,0,1,3,0.96,1,0,0,0,0
417,14,3,4,1,0,0,,,1,0.97,2.666456,2.09153,6,7,7,0,0,1,26,8.96875,0,1,4,0.97,1,0,0,0,0
418,14,4,1,0,0,0,,,0,,,,,,,0,1,0,28,10.96875,0,0,1,0,0,1,0,,
419,14,5,2,0,0,0,,,0,,,,,,,0,1,0,23,5.96875,0,0,2,0,0,1,0,1,
420,14,6,3,0,0,0,,,1,1.02,2.580531,0.3624858,5,7,7,0,0,1,27,9.96875,0,1,3,1.02,1,0,0,0,0
421,14,7,4,0,0,0,0,,1,1.04,2.579616,0.3544686,5,7,7,0,0,1,25,7.96875,0,1,4,1.04,1,0,0,0,0
422,14,8,1,1,1,0,,,1,1.93,2.767806,1.073456,4,,,0,0,1,21,3.96875,0,1,1,1.93,1,1,0,,
423,14,9,2,1,1,0,0.0229924,,1,1.13,2.966087,1.700032,6,6,6,0,0,1,2,-15.03125,0,1,2,1.13,1,1,0,1,0
424,14,10,3,1,1,0,0,,1,1.14,2.81738,1.812014,5,7,6,0,0,1,22,4.96875,0,1,3,1.14,1,0,0,0,0
425,14,11,4,1,1,0,0,0,1,1.02,3.06346,1.76418,5,7,7,0,0,1,6,-11.03125,0,1,4,1.02,1,0,0,0,0
426,14,12,1,0,1,0,,,0,,,,,,,0,1,0,24,6.96875,0,0,1,0,0,1,0,,
427,14,13,2,0,1,0,,,1,0.79,2.608659,0.5504725,4,7,6,0,0,1,32,14.96875,0,1,2,0.79,1,0,0,0,0
428,14,14,3,0,1,0,0.0896724,,1,1,2.727154,0.3213068,6,7,6,0,0,1,4,-13.03125,0,1,3,1,1,1,0,1,0
429,14,15,4,0,1,0,,,1,,2.998306,0.9179263,4,4,3,0,1,1,1,-16.03125,0,1,4,-0.16,1,0,0,0,0
430,14,16,1,1,0,1,,,0,,,,,,,0,1,0,7,-10.03125,0,0,1,0,0,1,0,,
431,14,17,2,1,0,1,0.0434619,,1,1.07,2.863357,1.888879,5,5,6,0,0,1,10,-7.03125,0,1,2,1.07,1,1,0,1,0
432,14,18,3,1,0,1,,,1,1.07,2.871298,1.84594,5,6,6,0,0,1,8,-9.03125,0,1,3,1.07,1,0,0,0,0
433,14,19,4,1,0,1,0,,1,0.89,2.880911,1.989648,7,7,7,0,0,1,12,-5.03125,0,1,4,0.89,1,0,0,0,0
434,14,20,1,0,0,1,,,1,0.31,2.72914,0.7669379,5,,,0,0,1,20,2.96875,0,1,1,0.31,1,0,0,,
435,14,21,2,0,0,1,,,1,0.79,2.854367,0.3627242,6,7,7,0,0,1,14,-3.03125,0,1,2,0.79,1,0,0,0,0
436,14,22,3,0,0,1,,,1,0.78,2.713162,0.4644457,5,7,7,0,0,1,30,12.96875,0,1,3,0.78,1,0,0,0,0
437,14,23,4,0,0,1,0,,1,0.91,2.804807,0.3453056,4,6,6,0,0,1,9,-8.03125,0,1,4,0.91,1,0,0,0,0
438,14,24,1,1,1,1,,,1,2.16,2.901361,0.7462044,3,,,0,0,1,33,15.96875,0,1,1,2.16,1,1,0,,
439,14,25,2,1,1,1,0.046952,,1,0.52,2.966279,2.376705,6,7,6,0,0,1,17,-0.03125,0,1,2,0.52,1,1,0,1,0
440,14,26,3,1,1,1,0,,1,1.13,2.770156,1.869174,6,7,6,0,0,1,19,1.96875,0,1,3,1.13,1,0,0,0,0
441,14,27,4,1,1,1,0.0214689,,1,1.03,2.788402,2.000609,4,6,6,0,0,1,5,-12.03125,0,1,4,1.03,1,1,0,1,0
442,14,28,1,0,1,1,,,0,,,,,,,0,1,0,3,-14.03125,0,0,1,0,0,1,0,,
